name,description,similar_medicines
Desiccated thyroid extract,"Desiccated thyroid extract is a medication used to treat an underactive thyroid gland (hypothyroidism).","Levothyroxine,Liothyronine,Thyroxine"
Citalopram,"Citalopram is a medication used to treat depression.","Escitalopram,Fluoxetine,Sertraline"
Escitalopram,"Escitalopram is a medication used to treat depression.","Citalopram,Fluoxetine,Sertraline"
Fluoxetine,"Fluoxetine is a medication used to treat depression, panic attacks, obsessive compulsive disorder, bulimia nervosa, and premenstrual dysphoric disorder.","Citalopram,Escitalopram,Sertraline"
Sertraline,"Sertraline is a medication used to treat depression, obsessive-compulsive disorder, panic disorder, and post-traumatic stress disorder (PTSD).","Citalopram,Escitalopram,Fluoxetine"
Metoprolol,"Metoprolol is a medication used to treat high blood pressure and prevent migraine headaches.","Propranolol,Atenolol,Carvedilol"
Propranolol,"Propranolol is a medication used to treat high blood pressure, angina, atrial fibrillation, tremor, and certain types of migraine headaches.","Metoprolol,Atenolol,Carvedilol"
Atenolol,"Atenolol is a medication used to treat high blood pressure, angina, and to reduce the risk of death after a heart attack.","Metoprolol,Propranolol,Carvedilol"
Carvedilol,"Carvedilol is a medication used to treat high blood pressure, heart failure, and to reduce the risk of death after a heart attack.","Metoprolol,Propranolol,Atenolol"
Metronidazole,"Metronidazole is an antibiotic used to treat infections caused by bacteria or parasites.","Ciprofloxacin,Doxycycline,Amoxicillin"
Ciprofloxacin,"Ciprofloxacin is an antibiotic used to treat a variety of bacterial infections.","Metronidazole,Doxycycline,Amoxicillin"
Doxycycline,"Doxycycline is an antibiotic used to treat many different bacterial infections, such as acne, urinary tract infections, intestinal infections, eye infections, gonorrhea, chlamydia, periodontitis (gum disease), and others.","Metronidazole,Ciprofloxacin,Amoxicillin"
Amoxicillin,"Amoxicillin is an antibiotic used to treat a wide variety of bacterial infections.","Metronidazole,Ciprofloxacin,Doxycycline"
Fluticasone,"Fluticasone is a corticosteroid used to reduce inflammation in the nasal passages and lungs.","Budesonide,Mometasone,Prednisone"
Budesonide,"Budesonide is a corticosteroid used to treat asthma, COPD, and inflammatory bowel disease.","Fluticasone,Mometasone,Prednisone"
Mometasone,"Mometasone is a corticosteroid used to treat asthma, allergies, and skin conditions.","Fluticasone,Budesonide,Prednisone"
Prednisone,"Prednisone is a corticosteroid used to treat conditions such as arthritis, blood disorders, breathing problems, severe allergies, skin diseases, cancer, eye problems, and immune system disorders.","Fluticasone,Budesonide,Mometasone"
Gabapentin,"Gabapentin is a medication used to treat epilepsy, neuropathic pain, restless legs syndrome, and hot flashes.","Pregabalin,Carbamazepine,Valproic acid"
Pregabalin,"Pregabalin is a medication used to treat epilepsy, neuropathic pain, fibromyalgia, and generalized anxiety disorder.","Gabapentin,Carbamazepine,Valproic acid"
Carbamazepine,"Carbamazepine is a medication used primarily in the treatment of epilepsy and neuropathic pain.","Gabapentin,Pregabalin,Valproic acid"
Valproic acid,"Valproic acid is a medication primarily used to treat epilepsy and bipolar disorder and to prevent migraine headaches.","Gabapentin,Pregabalin,Carbamazepine"
Alprazolam,"Alprazolam is a medication used to treat anxiety disorders, panic disorders, and anxiety caused by depression.","Lorazepam,Clonazepam,Diazepam"
Lorazepam,"Lorazepam is a medication used to treat anxiety disorders, trouble sleeping, active seizures including status epilepticus, alcohol withdrawal, and chemotherapy-induced nausea and vomiting.","Alprazolam,Clonazepam,Diazepam"
Clonazepam,"Clonazepam is a medication used to prevent and treat seizures, panic disorder, and for the movement disorder known as akathisia.","Alprazolam,Lorazepam,Diazepam"
Diazepam,"Diazepam is a medication used to treat anxiety, alcohol withdrawal syndrome, muscle spasms, seizures, trouble sleeping, restless legs syndrome, and benzodiazepine withdrawal.","Alprazolam,Lorazepam,Clonazepam"
Morphine,"Morphine is a medication used to treat severe pain.","Oxycodone,Hydromorphone,Fentanyl"
Oxycodone,"Oxycodone is a medication used for the relief of moderate to severe pain.","Morphine,Hydromorphone,Fentanyl"
Hydromorphone,"Hydromorphone is a medication used to relieve moderate to severe pain.","Morphine,Oxycodone,Fentanyl"
Fentanyl,"Fentanyl is a powerful synthetic opioid used as a pain medication and together with other medications for anesthesia.","Morphine,Oxycodone,Hydromorphone"
